record_id,trip_start_date,trip_days,distance_km,transport_mode,tuk_engine_type,fuel_type,bus_type,occupancy,congestion_factor,terrain_factor,hotel_class,nightly_kwh_est,season,grid_ef_kgCO2_per_kWh,diesel_gen_l_per_night,water_heating,safari_engine_hours,festival_event,pilgrimage_support_km,pilgrimage_support_liters,meal_plan,food_emissions_kgCO2,rice_kg_per_day,rice_emissions_kgCO2,waste_kg_per_day,waste_method,waste_emissions_kgCO2,plastic_bottles_per_day,plastic_emissions_kgCO2,transport_emissions_kgCO2,accommodation_elec_kgCO2,accommodation_gen_kgCO2,festival_gen_emissions_kgCO2,pilgrimage_emissions_kgCO2,total_trip_emissions_kgCO2
956,2025-03-03,6,151.1,Private Car,,Petrol,,1,0.8,1.0,Guesthouse,6.03,dry,0.82,0.0,Diesel Boiler,0.0,Small Local Festival,0,0.0,Local,16.884,0.6,5.436,1.869,Open Landfill,5.606,1,0.3,22.124,29.657,24.12,118.935,0.0,223.062
957,2025-08-14,3,116.4,Tourist Coach,,Petrol,Private,19,0.8,1.0,3-star,15.5,dry,0.82,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Import-Heavy,20.412,0.6,2.718,0.721,Composting,0.108,3,0.45,0.343,45.506,0.0,88.804,0.0,158.341
958,2025-05-05,5,84.2,Hybrid Car,,Petrol,,1,1.32,1.15,5-star,115.43,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,1.0,7.55,1.842,Open Landfill,4.605,1,0.25,4.64,485.571,0.0,0.0,0.0,516.686
959,2025-08-16,5,1.0,Tourist Coach,,LPG,Private,13,0.8,1.0,Guesthouse,5.38,dry,0.82,5.12,Diesel Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,1.487,Open Landfill,3.717,3,0.75,0.004,22.047,88.708,0.0,0.0,133.827
960,2025-05-30,7,105.5,Hybrid Car,,Electric,,2,0.8,1.0,3-star,19.62,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Local,19.698,0.6,6.342,0.936,Open Landfill,3.275,1,0.35,1.726,112.6,0.0,0.0,0.0,143.991
961,2025-05-12,12,56.5,Hybrid Car,,LPG,,2,1.05,1.0,Budget Hotel,11.14,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Local,33.768,0.6,10.872,1.546,Incineration,3.711,1,0.6,1.107,109.583,0.0,0.0,0.0,159.64
962,2025-03-29,7,65.2,Public Bus,,Petrol,Public,23,0.8,1.0,4-star,47.09,wet,0.07,1.9,Electric Boiler,0.0,None,0,0.0,Mixed,27.678,0.6,6.342,1.852,Sanitary Landfill,6.483,1,0.35,0.045,24.546,35.644,0.0,0.0,101.089
963,2025-07-14,9,1.0,Pilgrimage Support Truck,,LPG,,19,0.8,1.0,Eco-lodge,9.54,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,0.2,Open Landfill,0.9,0,0.0,0.154,7.897,0.0,0.0,0.0,42.431
964,2025-11-23,6,109.6,Tuk-Tuk,2-stroke,Diesel,,1,0.81,1.0,Budget Hotel,10.08,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,0.2,Sanitary Landfill,0.6,1,0.3,10.653,5.495,0.0,0.0,0.0,39.368
965,2025-10-03,4,1.0,Safari Jeep,,LPG,,3,0.8,1.15,Budget Hotel,13.31,wet,0.07,0.0,Diesel Boiler,3.78,None,0,0.0,Local,11.256,1.5,9.06,1.015,Composting,0.203,1,0.2,2.268,3.727,16.08,0.0,0.0,42.794
966,2025-08-22,6,87.1,Train,,Electric,,27,0.8,1.15,3-star,17.74,wet,0.07,9.7,Electric Boiler,0.0,None,0,0.0,Mixed,23.724,1.0,9.06,1.137,Open Landfill,3.412,0,0.0,0.077,8.711,155.976,0.0,0.0,200.961
967,2025-10-25,2,134.3,Private Car,,Diesel,,2,0.8,1.15,Guesthouse,5.62,wet,0.07,0.0,Solar Thermal,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,5.628,0.3,0.906,1.685,Open Landfill,1.685,0,0.0,8.198,0.787,0.0,683.365,0.0,700.57
968,2025-04-21,9,51.8,Hybrid Car,,Petrol,,2,1.23,1.0,5-star,89.66,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,25.326,0.6,8.154,0.591,Sanitary Landfill,2.658,1,0.45,1.378,56.489,0.0,0.0,0.0,94.455
969,2025-08-22,7,153.0,Public Bus,,Diesel,Public,10,1.41,1.0,4-star,39.4,dry,0.82,1.36,Diesel Boiler,0.0,None,0,0.0,Local,19.698,1.0,10.57,1.386,Composting,0.485,1,0.35,0.431,226.129,53.654,0.0,0.0,311.317
970,2025-05-08,5,35.2,Pilgrimage Support Truck,,Diesel,,14,1.01,1.0,4-star,36.46,wet,0.07,7.17,Electric Boiler,0.0,None,0,0.0,Mixed,19.77,0.6,4.53,2.271,Incineration,2.271,2,0.5,4.554,13.812,96.078,0.0,0.0,141.515
971,2025-06-05,8,116.0,Hybrid Car,,Diesel,,2,0.97,1.15,Guesthouse,7.46,dry,0.82,0.75,Solar Thermal,0.0,Small Local Festival,0,0.0,Local,22.512,0.6,7.248,1.336,Open Landfill,5.344,4,1.6,3.347,48.952,16.08,125.489,0.0,230.572
972,2025-02-22,2,1.7,Tuk-Tuk,4-stroke,Diesel,,2,0.97,1.15,3-star,21.14,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,5.628,0.6,1.812,1.929,Sanitary Landfill,1.929,2,0.2,0.049,3.379,0.0,0.0,0.0,12.998
973,2025-08-31,8,141.9,Public Bus,,LPG,Public,19,0.87,1.0,Budget Hotel,10.16,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,54.432,0.6,7.248,1.967,Sanitary Landfill,7.867,2,0.8,0.13,5.691,0.0,0.0,0.0,76.167
974,2025-06-11,4,132.6,Public Bus,,Electric,Public,27,0.94,1.0,Budget Hotel,8.94,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,11.256,1.0,6.04,0.709,Composting,0.142,1,0.2,0.092,3.342,0.0,0.0,0.0,21.072
975,2025-05-21,10,108.1,Hybrid Car,,Electric,,2,1.21,1.0,5-star,109.7,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,68.04,0.3,4.53,1.436,Sanitary Landfill,7.179,2,1.0,3.599,76.79,0.0,0.0,0.0,161.139
976,2025-11-13,5,56.4,Tuk-Tuk,2-stroke,LPG,,2,1.11,1.15,Budget Hotel,9.59,dry,0.82,5.16,Electric Boiler,0.0,None,0,0.0,Local,14.07,1.0,7.55,1.182,Composting,0.296,2,0.5,3.756,51.617,69.144,0.0,0.0,146.933
977,2025-09-07,3,1.0,Hybrid Car,,Diesel,,1,0.8,1.35,Budget Hotel,9.47,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,11.862,0.0,0.0,1.521,Composting,0.228,0,0.0,0.041,2.619,0.0,0.0,0.0,14.75
978,2025-07-31,5,56.6,Private Car,,Electric,,1,1.17,1.0,Guesthouse,5.64,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,1.0,7.55,1.195,Open Landfill,2.988,1,0.25,9.953,3.024,0.0,0.0,0.0,37.835
979,2025-05-30,7,146.6,Train,,Electric,,39,1.0,1.15,4-star,53.51,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.0,10.57,1.675,Sanitary Landfill,5.863,0,0.0,0.113,324.377,0.0,0.0,0.0,360.621
980,2025-06-14,3,87.8,Public Bus,,LPG,Public,14,1.11,1.0,Eco-lodge,8.66,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Import-Heavy,20.412,1.0,4.53,1.246,Open Landfill,1.868,2,0.3,0.139,21.302,12.06,0.0,0.0,60.612
981,2025-01-25,2,1.0,Hybrid Car,,Electric,,1,0.8,1.15,Budget Hotel,9.6,dry,0.82,2.67,Electric Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,5.628,0.6,1.812,0.838,Open Landfill,0.838,0,0.0,0.038,20.662,14.311,890.089,0.0,933.379
982,2025-09-09,8,12.5,Train,,Electric,,27,0.93,1.0,Eco-lodge,9.69,wet,0.07,0.2,Electric Boiler,0.0,None,0,0.0,Local,22.512,1.0,12.08,1.475,Composting,0.59,2,0.8,0.013,7.105,4.288,0.0,0.0,47.388
983,2025-08-28,8,155.2,Private Car,,Diesel,,2,0.8,1.0,5-star,148.8,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,54.432,1.0,12.08,1.504,Open Landfill,6.014,2,0.8,8.903,995.811,0.0,0.0,0.0,1078.04
984,2025-06-23,7,109.3,Public Bus,,LPG,Public,14,0.86,1.0,5-star,111.18,wet,0.07,14.16,Electric Boiler,0.0,Small Local Festival,0,0.0,Import-Heavy,47.628,1.0,10.57,0.846,Open Landfill,2.962,0,0.0,0.134,55.946,265.642,108.892,0.0,491.774
985,2025-10-27,9,6.0,Hybrid Car,,Electric,,3,0.95,1.0,3-star,19.79,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,1.167,Incineration,2.1,1,0.45,0.077,14.359,0.0,0.0,0.0,50.467
986,2025-03-17,8,1.0,Public Bus,,Diesel,Public,44,0.8,1.0,3-star,18.89,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,31.632,1.0,12.08,0.757,Open Landfill,3.03,2,0.8,0.0,143.592,0.0,0.0,0.0,191.135
987,2025-04-17,6,42.5,Private Car,,LPG,,1,0.8,1.0,3-star,21.04,dry,0.82,10.29,Solar Thermal,0.0,None,0,0.0,Local,16.884,1.0,9.06,1.721,Incineration,2.065,0,0.0,4.648,103.507,165.463,0.0,0.0,301.628
988,2025-07-12,7,1.0,Private Car,,LPG,,1,0.8,1.15,Budget Hotel,8.81,dry,0.82,22.21,Electric Boiler,0.0,None,0,0.0,Mixed,27.678,0.6,6.342,1.294,Composting,0.453,1,0.35,0.103,67.795,416.66,0.0,0.0,519.38
989,2025-09-22,7,70.6,Tuk-Tuk,2-stroke,Electric,,1,0.97,1.0,3-star,22.66,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,27.678,0.6,6.342,0.915,Composting,0.32,2,0.7,8.218,12.572,0.0,0.0,0.0,55.83
990,2025-05-11,8,227.1,Private Car,,LPG,,1,1.21,1.0,3-star,21.92,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,31.632,1.0,12.08,0.793,Open Landfill,3.173,0,0.0,39.64,163.507,0.0,0.0,0.0,250.032
991,2025-06-03,7,1.0,Hybrid Car,,Electric,,1,0.95,1.0,Budget Hotel,9.92,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,19.698,0.3,3.171,0.47,Incineration,0.658,2,0.7,0.044,4.86,0.0,0.0,0.0,29.131
992,2025-04-01,4,68.8,Private Car,,Petrol,,2,1.18,1.0,5-star,104.56,dry,0.82,5.04,Diesel Boiler,0.0,None,0,0.0,Mixed,15.816,0.0,0.0,0.649,Composting,0.13,1,0.2,5.866,342.968,70.109,0.0,0.0,435.088
993,2025-08-01,4,158.7,Public Bus,,LPG,Public,43,0.87,1.0,Guesthouse,5.56,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Mixed,15.816,1.0,6.04,1.781,Open Landfill,3.561,1,0.2,0.064,18.237,0.0,0.0,0.0,43.918
994,2025-03-25,2,124.9,Train,,Electric,,73,0.8,1.0,Guesthouse,5.36,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,5.628,1.0,3.02,1.01,Open Landfill,1.01,3,0.3,0.041,13.704,0.0,0.0,0.0,23.703
995,2025-03-15,6,71.1,Tuk-Tuk,2-stroke,Diesel,,1,1.13,1.0,Budget Hotel,10.76,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Local,16.884,0.6,5.436,1.462,Composting,0.439,2,0.6,9.641,52.955,0.0,0.0,0.0,85.954
996,2025-02-27,4,71.2,Safari Jeep,,Petrol,,6,1.31,1.0,Budget Hotel,9.51,dry,0.82,0.0,Solar Thermal,1.27,None,0,0.0,Mixed,15.816,0.3,1.812,2.134,Incineration,1.707,0,0.0,0.381,31.196,0.0,0.0,0.0,50.912
997,2025-03-07,10,10.6,Pilgrimage Support Truck,,Electric,,14,0.8,1.0,Eco-lodge,8.71,wet,0.07,2.08,Electric Boiler,0.0,None,0,0.0,Local,28.14,0.6,9.06,1.437,Incineration,2.875,0,0.0,2.287,8.197,55.744,0.0,0.0,106.302
998,2025-03-15,9,63.9,Hybrid Car,,Diesel,,4,1.39,1.0,4-star,43.55,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,0.456,Composting,0.205,0,0.0,1.1,29.324,0.0,0.0,0.0,64.11
999,2025-08-25,5,94.6,Private Car,,Petrol,,2,0.8,1.0,4-star,44.71,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,34.02,0.6,4.53,1.088,Composting,0.272,2,0.5,5.998,16.699,0.0,0.0,0.0,62.019
1000,2025-04-04,3,146.3,Public Bus,,Diesel,Public,18,1.13,1.15,Budget Hotel,10.25,wet,0.07,1.02,Electric Boiler,0.0,Small Local Festival,0,0.0,Import-Heavy,20.412,1.0,4.53,1.748,Composting,0.262,1,0.15,0.184,2.783,8.201,130.464,0.0,166.986
1001,2025-04-20,4,42.8,Tuk-Tuk,2-stroke,LPG,,1,0.8,1.0,Budget Hotel,9.45,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,15.816,0.6,3.624,0.344,Sanitary Landfill,0.688,3,0.6,4.109,40.826,0.0,0.0,0.0,65.663
1002,2025-09-07,3,68.6,Hybrid Car,,Diesel,,2,0.93,1.0,Guesthouse,6.55,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Mixed,11.862,0.6,2.718,2.115,Composting,0.317,1,0.15,1.384,1.375,12.06,0.0,0.0,29.867
1003,2025-02-18,5,23.0,Tourist Coach,,Electric,Private,26,1.03,1.0,Guesthouse,4.47,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.0,0.0,1.433,Sanitary Landfill,3.583,1,0.25,0.064,30.626,0.0,0.0,0.0,48.594
1004,2025-09-16,5,93.5,Private Car,,Electric,,3,1.08,1.0,Guesthouse,7.01,dry,0.82,1.11,Electric Boiler,0.0,None,0,0.0,Local,14.07,1.0,7.55,2.069,Incineration,2.069,5,1.25,5.75,41.055,14.874,0.0,0.0,86.618
1005,2025-01-25,6,127.0,Private Car,,LPG,,1,1.05,1.0,4-star,39.59,dry,0.82,8.89,Electric Boiler,0.0,None,0,0.0,Import-Heavy,40.824,0.6,5.436,0.682,Sanitary Landfill,2.045,0,0.0,22.947,209.541,142.951,0.0,0.0,423.745
1006,2025-04-26,9,117.8,Train,,Electric,,66,1.24,1.0,3-star,20.55,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,61.236,0.6,8.154,0.835,Incineration,1.502,1,0.45,0.066,151.656,0.0,0.0,0.0,223.065
1007,2025-07-19,7,9.8,Train,,Electric,,116,1.41,1.0,4-star,53.06,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.5,15.855,1.769,Open Landfill,6.19,1,0.35,0.004,27.471,0.0,0.0,0.0,69.568
1008,2025-11-10,4,88.8,Safari Jeep,,Electric,,5,0.94,1.0,3-star,15.21,wet,0.07,0.0,Solar Thermal,4.14,None,0,0.0,Local,11.256,0.6,3.624,0.881,Incineration,0.705,2,0.4,1.49,4.259,0.0,0.0,0.0,21.735
1009,2025-10-30,6,39.4,Public Bus,,Petrol,Public,13,0.8,1.0,5-star,99.16,wet,0.07,0.0,Solar Thermal,0.0,Pilgrimage (Pada Yatra),36,26.83,Local,16.884,0.6,5.436,1.748,Open Landfill,5.245,0,0.0,0.048,41.646,0.0,0.0,71.904,141.164
1010,2025-05-22,7,140.7,Private Car,,Diesel,,1,1.41,1.15,Eco-lodge,6.98,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Mixed,27.678,0.6,6.342,1.132,Open Landfill,3.964,0,0.0,30.072,3.418,0.0,0.0,0.0,71.474
1011,2025-11-09,4,70.3,Tourist Coach,,Petrol,Private,25,1.23,1.0,Guesthouse,5.69,wet,0.07,12.34,Electric Boiler,0.0,None,0,0.0,Import-Heavy,27.216,0.6,3.624,1.378,Open Landfill,2.757,2,0.4,0.242,2.435,132.285,0.0,0.0,168.958
1012,2025-08-07,9,1.0,Hybrid Car,,Petrol,,3,0.82,1.0,5-star,111.47,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Mixed,35.586,0.6,8.154,1.431,Composting,0.644,2,0.9,0.013,822.669,36.18,0.0,0.0,904.146
1013,2025-08-10,9,66.8,Public Bus,,Electric,Public,28,0.94,1.15,Budget Hotel,9.37,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,1.0,13.59,0.98,Composting,0.441,1,0.45,0.045,7.794,0.0,0.0,0.0,47.646
1014,2025-02-12,6,107.5,Hybrid Car,,Petrol,,3,0.8,1.0,Budget Hotel,7.68,dry,0.82,19.61,Electric Boiler,0.0,None,0,0.0,Local,16.884,1.0,9.06,0.478,Incineration,0.574,3,0.9,1.185,52.553,315.329,0.0,0.0,396.485
1015,2025-07-15,5,94.6,Tuk-Tuk,4-stroke,LPG,,2,0.88,1.15,Budget Hotel,9.68,wet,0.07,1.73,Diesel Boiler,0.0,Small Local Festival,0,0.0,Local,14.07,0.6,4.53,0.415,Sanitary Landfill,1.038,0,0.0,2.497,3.387,43.282,102.817,0.0,171.621
1016,2025-08-14,3,49.3,Tuk-Tuk,2-stroke,Petrol,,2,0.8,1.0,Guesthouse,4.63,dry,0.82,0.0,Electric Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,8.442,0.6,2.718,0.304,Composting,0.046,2,0.3,2.366,18.774,0.0,459.772,0.0,492.417
1017,2025-04-03,7,44.9,Train,,Electric,,93,1.14,1.0,Eco-lodge,7.21,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.0,10.57,1.261,Open Landfill,4.413,0,0.0,0.017,5.005,0.0,0.0,0.0,39.703
1018,2025-05-22,6,20.7,Tuk-Tuk,4-stroke,Petrol,,1,1.06,1.0,3-star,24.99,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Import-Heavy,40.824,0.6,5.436,1.357,Incineration,1.628,0,0.0,1.317,10.497,24.12,0.0,0.0,83.822
1019,2025-06-28,7,56.3,Hybrid Car,,Petrol,,1,1.25,1.0,4-star,46.53,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Mixed,27.678,0.6,6.342,1.866,Composting,0.653,0,0.0,3.878,267.06,0.0,0.0,0.0,305.611
1020,2025-11-24,8,28.7,Tourist Coach,,LPG,Private,20,1.16,1.0,Eco-lodge,8.64,wet,0.07,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Local,22.512,1.0,12.08,0.512,Open Landfill,2.047,3,1.2,0.117,6.52,0.0,119.814,0.0,164.289
1021,2025-03-28,4,138.2,Hybrid Car,,Electric,,2,1.2,1.0,5-star,107.99,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,11.256,0.6,3.624,1.193,Open Landfill,2.386,1,0.2,3.013,31.076,0.0,0.0,0.0,51.555
1022,2025-02-17,10,25.9,Hybrid Car,,Petrol,,1,0.83,1.15,Budget Hotel,9.63,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,28.14,0.6,9.06,1.736,Open Landfill,8.682,0,0.0,0.866,8.838,0.0,0.0,0.0,55.587
1023,2025-02-12,3,87.3,Tuk-Tuk,4-stroke,Diesel,,1,1.06,1.15,Budget Hotel,11.63,wet,0.07,17.11,Electric Boiler,0.0,Small Local Festival,0,0.0,Import-Heavy,20.412,1.0,4.53,0.288,Composting,0.043,2,0.3,5.552,3.072,137.564,103.818,0.0,275.292
1024,2025-04-26,1,83.3,Hybrid Car,,LPG,,1,0.96,1.0,Guesthouse,5.28,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,3.954,1.5,2.265,1.609,Open Landfill,0.805,1,0.05,3.096,0.579,0.0,0.0,0.0,10.749
1025,2025-04-06,7,136.7,Hybrid Car,,LPG,,1,1.21,1.0,Budget Hotel,10.66,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.5,15.855,0.497,Open Landfill,1.738,0,0.0,7.574,78.384,0.0,0.0,0.0,123.248
1026,2025-08-09,5,145.4,Train,,Electric,,94,0.9,1.0,Budget Hotel,11.99,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,34.02,0.6,4.53,1.492,Composting,0.373,2,0.5,0.042,61.461,0.0,0.0,0.0,100.925
1027,2025-09-17,7,121.8,Hybrid Car,,LPG,,1,0.8,1.15,Budget Hotel,9.97,dry,0.82,13.46,Electric Boiler,0.0,Pilgrimage (Pada Yatra),36,30.24,Import-Heavy,47.628,0.6,6.342,0.544,Open Landfill,1.903,3,1.05,4.561,74.465,252.51,0.0,81.043,469.501
1028,2025-10-22,5,101.2,Tourist Coach,,Diesel,Private,8,0.8,1.0,5-star,106.74,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,1.5,11.325,1.699,Sanitary Landfill,4.247,2,0.5,0.708,449.928,0.0,0.0,0.0,480.779
1029,2025-06-27,6,17.1,Train,,Electric,,78,0.8,1.0,4-star,37.63,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,2.114,Open Landfill,6.341,1,0.3,0.005,15.803,24.12,0.0,0.0,68.889
1030,2025-03-10,3,15.9,Hybrid Car,,LPG,,1,0.82,1.15,Budget Hotel,10.95,dry,0.82,5.91,Electric Boiler,0.0,Small Local Festival,0,0.0,Local,8.442,0.6,2.718,1.929,Open Landfill,2.893,3,0.45,0.492,34.323,47.516,126.067,0.0,222.901
1031,2025-10-28,6,29.3,Pilgrimage Support Truck,,LPG,,15,0.8,1.15,Budget Hotel,9.77,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,0.54,Composting,0.162,1,0.3,3.426,62.845,0.0,0.0,0.0,89.052
1032,2025-04-10,5,125.1,Hybrid Car,,Petrol,,4,0.87,1.0,Guesthouse,5.89,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,1.853,Open Landfill,4.632,2,0.5,1.159,36.449,0.0,0.0,0.0,61.34
1033,2025-07-28,4,84.4,Private Car,,LPG,,3,1.32,1.0,Guesthouse,5.02,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,11.256,1.0,6.04,0.2,Composting,0.04,2,0.4,6.354,26.309,0.0,0.0,0.0,50.399
1034,2025-11-21,6,132.1,Hybrid Car,,Electric,,1,1.01,1.0,Budget Hotel,9.19,wet,0.07,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Local,16.884,0.6,5.436,1.612,Open Landfill,4.837,2,0.6,7.54,5.12,0.0,46.807,0.0,87.224
1035,2025-01-03,4,140.2,Tuk-Tuk,4-stroke,Petrol,,2,1.06,1.0,Guesthouse,6.64,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Local,11.256,1.5,9.06,1.726,Sanitary Landfill,3.453,1,0.2,4.458,21.764,0.0,0.0,0.0,50.191
1036,2025-06-26,4,36.4,Hybrid Car,,Diesel,,1,1.14,1.0,Eco-lodge,7.83,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Import-Heavy,27.216,0.6,3.624,0.753,Open Landfill,1.506,2,0.4,2.068,25.679,16.08,0.0,0.0,76.573
1037,2025-10-03,5,81.9,Tuk-Tuk,2-stroke,Diesel,,2,0.8,1.0,Eco-lodge,7.58,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Mixed,19.77,0.0,0.0,1.468,Open Landfill,3.669,3,0.75,3.931,31.076,0.0,0.0,0.0,59.196
1038,2025-11-05,9,79.2,Train,,Electric,,35,0.8,1.0,5-star,106.74,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,1.0,13.59,1.078,Sanitary Landfill,4.851,1,0.45,0.054,69.138,0.0,0.0,0.0,113.409
1039,2025-05-03,6,60.3,Private Car,,Diesel,,4,0.88,1.0,Eco-lodge,7.67,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,1.085,Open Landfill,3.256,1,0.3,2.186,4.48,0.0,0.0,0.0,32.543
1040,2025-10-30,5,47.9,Pilgrimage Support Truck,,Electric,,7,1.08,1.0,5-star,83.46,wet,0.07,9.5,Diesel Boiler,0.0,None,0,0.0,Mixed,19.77,1.0,7.55,1.705,Composting,0.426,0,0.0,11.941,29.212,147.4,0.0,0.0,216.299
1041,2025-05-30,5,151.1,Tuk-Tuk,2-stroke,Diesel,,3,1.11,1.0,3-star,23.03,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.3,2.265,0.747,Composting,0.187,4,1.0,6.709,106.72,0.0,0.0,0.0,130.95
1042,2025-05-28,5,83.1,Safari Jeep,,Electric,,5,1.06,1.0,3-star,14.44,wet,0.07,17.3,Solar Thermal,5.7,None,0,0.0,Local,14.07,0.6,4.53,1.22,Incineration,1.22,1,0.25,2.052,5.052,231.82,0.0,0.0,258.994
1043,2025-01-25,5,80.8,Tourist Coach,,Petrol,Private,21,0.8,1.15,5-star,114.62,wet,0.07,10.6,Diesel Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,0.568,Open Landfill,1.421,0,0.0,0.215,40.118,162.14,0.0,0.0,222.494
1044,2025-07-09,8,31.8,Electric Car,,Electric,,1,1.26,1.0,Budget Hotel,12.48,wet,0.07,0.0,Solar Thermal,0.0,Small Local Festival,0,0.0,Mixed,31.632,1.0,12.08,1.074,Sanitary Landfill,4.294,0,0.0,4.597,6.99,0.0,39.68,0.0,99.273
1045,2025-01-08,9,120.5,Public Bus,,Petrol,Public,23,0.8,1.0,Guesthouse,5.45,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,2.066,Composting,0.93,1,0.45,0.084,62.39,0.0,0.0,0.0,97.334
1046,2025-07-25,8,19.7,Tuk-Tuk,4-stroke,LPG,,3,0.8,1.15,Guesthouse,6.4,wet,0.07,0.0,Electric Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,22.512,0.6,7.248,1.949,Open Landfill,7.796,1,0.4,0.315,5.262,0.0,348.213,0.0,391.746
1047,2025-07-29,4,107.3,Tuk-Tuk,2-stroke,LPG,,2,0.8,1.0,Budget Hotel,9.82,dry,0.82,0.0,Electric Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,11.256,1.0,6.04,2.647,Composting,0.529,0,0.0,5.15,42.036,0.0,991.085,0.0,1056.096
1048,2025-08-18,7,108.9,Public Bus,,Electric,Public,36,1.03,1.0,Budget Hotel,8.45,dry,0.82,7.11,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.0,10.57,1.001,Open Landfill,3.502,1,0.35,0.062,65.74,133.384,0.0,0.0,233.306
1049,2025-07-23,7,55.2,Private Car,,LPG,,1,1.26,1.15,Guesthouse,5.57,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,19.698,1.0,10.57,1.52,Incineration,2.128,1,0.35,9.002,2.729,0.0,0.0,0.0,44.477
